"﻿""Data Source""",World Development Indicators,
Last Updated Date,2019-06-28,
Country Name,Country Code,Indicator Name,Indicator Code,Indicator Value
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.411
Aruba,ABW,Urban population,SP.URB.TOTL,45948
Aruba,ABW,Urban population growth (annual %),SP.URB.GROW,0.725179011284149
Aruba,ABW,"Population, total",SP.POP.TOTL,105845
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.453575638777095
Aruba,ABW,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,
Aruba,ABW,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,
Aruba,ABW,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,
Aruba,ABW,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,
Aruba,ABW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,101.180557250977
Aruba,ABW,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.02155995368958
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.440397943214845
Aruba,ABW,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,
Aruba,ABW,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,
Aruba,ABW,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,0.141163456065734
Aruba,ABW,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.000105156683687689
Aruba,ABW,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,18.9175762600279
Aruba,ABW,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,
Aruba,ABW,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,
Aruba,ABW,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,
Aruba,ABW,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,7.069166545
Aruba,ABW,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,4.71804376
Aruba,ABW,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,2.351122785
Aruba,ABW,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,
Aruba,ABW,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,
Aruba,ABW,Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,
Aruba,ABW,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,
Aruba,ABW,PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE,
Aruba,ABW,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,-45.1195274277534
Aruba,ABW,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,6.48877182
Aruba,ABW,Methane emissions (% change from 1990),EN.ATM.METH.ZG,52.8353407833008
Aruba,ABW,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,23.195514
Aruba,ABW,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,
Aruba,ABW,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,
Aruba,ABW,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,616.928696
Aruba,ABW,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,-33.3333333333333
Aruba,ABW,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,143.941114486933
Aruba,ABW,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,0
Aruba,ABW,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0
Aruba,ABW,CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,0.232496051547685
Aruba,ABW,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.220024128705649
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.41006417792511
Aruba,ABW,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,100
Aruba,ABW,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,872.746
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,872.746
Aruba,ABW,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.340522976483123
Aruba,ABW,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Aruba,ABW,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0
Aruba,ABW,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,
Aruba,ABW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,
Aruba,ABW,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,
Aruba,ABW,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,
Aruba,ABW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,6.72674756598399
Aruba,ABW,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,
Aruba,ABW,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,
Aruba,ABW,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,14.8561614426793
Aruba,ABW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,
Aruba,ABW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,
Aruba,ABW,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,
Aruba,ABW,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,
Aruba,ABW,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.24575920562681
Aruba,ABW,Cereal yield (kg per hectare),AG.YLD.CREL.KG,
Aruba,ABW,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,
Aruba,ABW,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2.33333326048321
Aruba,ABW,Forest area (sq. km),AG.LND.FRST.K2,4.19999986886978
Aruba,ABW,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,7.07036754
Aruba,ABW,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,4.717903532
Aruba,ABW,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,8.57979393
Aruba,ABW,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,2.352464008
Aruba,ABW,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,4.278098583
Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,11.1111111111111
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.1111111111111
Aruba,ABW,Agricultural land (sq. km),AG.LND.AGRI.K2,20
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.495
Afghanistan,AFG,Urban population,SP.URB.TOTL,9477100
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,3.35038297624495
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37172386
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.38476110022344
Afghanistan,AFG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,
Afghanistan,AFG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,25
Afghanistan,AFG,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,67.9
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,29.0696506500244
Afghanistan,AFG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.649800002574921
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,20.466505165881
Afghanistan,AFG,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,2.6
Afghanistan,AFG,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,167
Afghanistan,AFG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,0.104707034792812
Afghanistan,AFG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,
Afghanistan,AFG,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,0.104707034792812
Afghanistan,AFG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,43.0116648992577
Afghanistan,AFG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,20.28
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,10.792339238057
Afghanistan,AFG,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,
Afghanistan,AFG,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,
Afghanistan,AFG,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,
Afghanistan,AFG,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,1.05929016894999
Afghanistan,AFG,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,
Afghanistan,AFG,Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,
Afghanistan,AFG,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,
Afghanistan,AFG,PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE,
Afghanistan,AFG,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,24.5794148999171
Afghanistan,AFG,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,3423.68712
Afghanistan,AFG,Methane emissions (% change from 1990),EN.ATM.METH.ZG,80.4394840827628
Afghanistan,AFG,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,13763.166
Afghanistan,AFG,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,
Afghanistan,AFG,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,43.5287644039078
Afghanistan,AFG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,18168.86
Afghanistan,AFG,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,118.125000000016
Afghanistan,AFG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,-6528.83115939819
Afghanistan,AFG,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,44.6355140186916
Afghanistan,AFG,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,4378.398
Afghanistan,AFG,CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,0.163691341187946
Afghanistan,AFG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.154910350011471
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.293946407148718
Afghanistan,AFG,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,52.0747663551402
Afghanistan,AFG,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,5108.131
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,9809.225
Afghanistan,AFG,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.503629381060578
Afghanistan,AFG,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,2.76635514018692
Afghanistan,AFG,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,271.358
Afghanistan,AFG,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,
Afghanistan,AFG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,18.4234771693218
Afghanistan,AFG,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,
Afghanistan,AFG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,
Afghanistan,AFG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,86.0501112508465
Afghanistan,AFG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,
Afghanistan,AFG,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,
Afghanistan,AFG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,
Afghanistan,AFG,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.255222348901765
