nation,total,per_capita
AFGHANISTAN,2675,0.08
ALBANIA,1559,0.54
ALGERIA,39651,1.02
ANDORRA,126,1.74
ANGOLA,9480,0.39
ANTIGUA & BARBUDA,145,1.59
ARGENTINA,55638,1.29
ARMENIA,1508,0.5
AUSTRALIA,98517,4.17
AUSTRIA,16011,1.88
AZERBAIJAN,10223,1.06
BAHAMAS,659,1.72
BAHRAIN,8546,6.28
BANGLADESH,19959,0.13
BARBADOS,347,1.22
BELARUS,17316,1.82
BELGIUM,25457,2.27
BELIZE,135,0.38
BENIN,1723,0.16
BHUTAN,273,0.36
BOLIVIA,5566,0.53
BOSNIA & HERZEGOVINA,6063,1.59
BOTSWANA,1918,0.86
BRAZIL,144480,0.7
BRUNEI,2484,5.95
BULGARIA,11567,1.61
BURKINA FASO,777,0.04
BURUNDI,120,0.01
CAMBODIA,1823,0.12
CAMEROON,1910,0.08
CANADA,146494,4.12
CAPE VERDE,134,0.26
CENTRAL AFRICAN REPUBLIC,82,0.02
CHAD,199,0.01
CHILE,22515,1.27
CHINA,2806634,2.05
COLOMBIA,22932,0.48
COMOROS,42,0.05
COSTA RICA,2116,0.44
COTE D'IVOIRE,3012,0.14
CROATIA,4593,1.08
CUBA,9500,0.83
CYPRUS,1653,1.43
CZECH REPUBLIC,26309,2.5
DEMOCRATIC REPUBLIC OF THE CONGO,1274,0.02
DENMARK,9135,1.62
DJIBOUTI,197,0.22
DOMINICA,37,0.51
DOMINICAN REPUBLIC,5874,0.56
ECUADOR,11977,0.75
EGYPT,55057,0.61
EL SALVADOR,1714,0.28
EQUATORIAL GUINEA,1458,1.78
ERITREA,190,0.04
ESTONIA,5323,4.04
ESWATINI,328,0.26
ETHIOPIA,3163,0.03
FEDERATED STATES OF MICRONESIA,41,0.39
FIJI,319,0.36
FINLAND,12899,2.35
FRANCE,82704,1.29
GABON,1416,0.84
GAMBIA,140,0.07
GEORGIA,2451,0.61
GERMANY,196314,2.43
GHANA,3945,0.15
GREECE,18358,1.67
GRENADA,66,0.62
GUATEMALA,4998,0.31
GUINEA,668,0.05
